,corr,n,abs_corr
prm__steps_per_epoch,0.5510812390414962,59,0.5510812390414962
prm__bg_iou_thresh,0.3807932525489777,131,0.3807932525489777
prm__iou_thresh,-0.3191920218741246,84,0.3191920218741246
prm__fg_iou_thresh,0.2613943308599797,131,0.2613943308599797
prm__lr,0.1981637199629433,57406,0.1981637199629433
prm__beta1,-0.1796374109816511,115,0.1796374109816511
prm__nms_thresh,0.1264054660152027,249,0.1264054660152027
prm__patch_size,-0.12201765141032998,183,0.12201765141032998
prm__lr_schedule,-0.1136324630417369,115,0.1136324630417369
prm__pretrained,0.11068455203652235,249,0.11068455203652235
prm__norm_eps,-0.10406784438200067,339,0.10406784438200067
prm__score_thresh,-0.08932176184195653,249,0.08932176184195653
prm__neg_to_pos_ratio,0.07819571720646676,84,0.07819571720646676
prm__norm_momentum,0.06672344804382392,202,0.06672344804382392
prm__tie_weights,-0.06222014816152918,243,0.06222014816152918
prm__batch,-0.058945469062305154,57406,0.058945469062305154
prm__weight_decay,0.05503502261695565,246,0.05503502261695565
prm__attention_dropout,-0.05409722307592076,417,0.05409722307592076
prm__beta2,0.05022957568803786,102,0.05022957568803786
prm__epoch,-0.04975247099936002,975,0.04975247099936002
prm__topk_candidates,-0.04476315898010486,180,0.04476315898010486
prm__mixup_alpha,0.036362457868809955,57,0.036362457868809955
prm__momentum,0.032884897828659464,57277,0.032884897828659464
prm__warmup_epochs,0.025343531241897848,57,0.025343531241897848
prm__positive_fraction,0.01940080379978078,69,0.01940080379978078
prm__stochastic_depth_prob,0.018960173441769777,371,0.018960173441769777
prm__batch_size_per_image,0.014614541468761417,69,0.014614541468761417
prm__detections_per_img,0.01344705543509172,180,0.01344705543509172
prm__dropout_aux,-0.01078295606086758,152,0.01078295606086758
prm__norm_std,-0.008552932517655086,137,0.008552932517655086
prm__dropout,0.001641431276090184,47228,0.001641431276090184
