,corr,n,abs_corr
prm__iou_thresh,-0.27539156740208925,118,0.27539156740208925
prm__steps_per_epoch,0.25250582160575075,84,0.25250582160575075
prm__pretrained,0.22394556665163642,429,0.22394556665163642
prm__beta1,-0.1930091138633721,143,0.1930091138633721
prm__norm_momentum,0.17714155910815316,260,0.17714155910815316
prm__weight_decay,0.1547334222633973,311,0.1547334222633973
prm__lr_schedule,-0.14026992472371988,123,0.14026992472371988
prm__norm_std,-0.1300895208256647,194,0.1300895208256647
prm__warmup_epochs,0.11469753325448062,93,0.11469753325448062
prm__batch_size,-0.10833653489249147,50,0.10833653489249147
prm__bg_iou_thresh,0.10259243415187974,263,0.10259243415187974
prm__patch_size,-0.09797765397980064,218,0.09797765397980064
prm__norm_eps,-0.09723483600921176,454,0.09723483600921176
prm__batch,-0.09386658951314707,79639,0.09386658951314707
prm__mixup_alpha,-0.0896153746229232,93,0.0896153746229232
prm__attention_dropout,-0.07052237753866075,516,0.07052237753866075
prm__nms_thresh,0.061593981690015336,429,0.061593981690015336
prm__dropout_aux,-0.05846581152080603,187,0.05846581152080603
prm__topk_candidates,-0.05336339156508116,269,0.05336339156508116
prm__score_thresh,-0.053018108595882574,429,0.053018108595882574
prm__beta2,0.05236537244425876,129,0.05236537244425876
prm__lr,0.04919824386752609,79639,0.04919824386752609
prm__momentum,0.04605328032338046,79449,0.04605328032338046
prm__epoch,-0.036243679208628476,5693,0.036243679208628476
prm__neg_to_pos_ratio,-0.03496205581773785,118,0.03496205581773785
prm__batch_size_per_image,0.023124926754951366,160,0.023124926754951366
prm__tie_weights,-0.017878958214580805,422,0.017878958214580805
prm__detections_per_img,0.008372457168203881,269,0.008372457168203881
prm__dropout,-0.007099804899674122,66972,0.007099804899674122
prm__stochastic_depth_prob,0.003381929553641148,492,0.003381929553641148
prm__positive_fraction,-0.001292042657916325,160,0.001292042657916325
prm__fg_iou_thresh,0.0005897367986200143,263,0.0005897367986200143
